running_time,audience,screens,actor_changed,director_changed,scriptwriter_changed,writer_changed,series_changed,genre_ 스릴러,genre_ 액션,genre_SF,genre_가족,genre_공연,genre_공포,genre_기타,genre_다큐멘터리,genre_드라마,genre_로맨스,genre_뮤지컬,genre_미스터리,genre_범죄,genre_사극,genre_서부극,genre_성인물,genre_스릴러,genre_애니메이션,genre_액션,genre_어드벤처,genre_전쟁,genre_코미디,genre_판타지,기타,미국_캐나다,유럽,일본,중국_대만_홍콩,한국,12세관람가,15세관람가,전체관람가,청소년관람불가,corona_0,corona_1
3,17615919,4.662904733236837,"[-0.6105062328758332, 1.4099981570309117, -0.7994919241550795]",4.082714290965279,9.672802215530442,-0.099024753617849,-0.12994706957305457,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
3,16266338,6.041480861059788,"[0.8767922938784971, -0.3888169635713263, 1.351149559972743, -0.3888735872409204, -1.4502513030389932]",1.5101785914995902,-0.23432367225066178,-0.099024753617849,-0.12994706957305457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
3,14414658,5.739917333098518,"[1.8300903649925817, 0.24917812582486207, -0.984107129795732, -1.266985101805116, 0.07591868490326145, 0.09590505588014306]",6.6380639386977895,5.620613969702135,-0.099024753617849,-0.12994706957305457,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
3,14265049,2.8634652202371664,"[-0.8848802108504015, -0.730081780158872, 1.6381182480171528, -0.023156257007879273]",8.685805595362424,2.249852464859925,-0.099024753617849,-0.12994706957305457,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
3,13977602,8.798633116705693,"[1.056744623520067, 0.7915885030424411, 0.15227612137882737, -1.047946269706343, -0.2630682637250859, -0.5041725443486471, -0.005194258770167427, -0.684443246603912, -1.5108866722947094, 2.0151020075075268]",12.286612721343174,7.515340942377697,13.245999895289742,20.21350991719888,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2,13750668,8.178936636169894,"[-1.0, 1.0]",12.72702958356405,-0.23432367225066178,-0.099024753617849,9.92590898727028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
3,13624328,2.442601835060448,"[1.7271206032637905, -0.49647349353631964, -0.6969395387678499, -0.5337075709596208]",-0.27422864569978733,-0.23432367225066178,-0.099024753617849,-0.12994706957305457,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
3,13414484,3.098751049745411,"[-0.2674924688260223, -1.0692224291933974, -0.3042184649264712, 1.6409333629458909]",2.9927083259530938,5.028351721883242,-0.099024753617849,-0.12994706957305457,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
3,13019740,1.5478529059445902,"[0.5626109057901939, 1.1999274959231991, -0.29374381227497043, -1.4687945894384227]",-0.27422864569978733,-0.23432367225066178,-0.099024753617849,-0.12994706957305457,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
3,12984701,3.019217811601779,"[2.111235290143912, -0.012769376270174614, 0.7040504156781076, -0.13631378049584472, -1.2294317463533497, -0.3087922378653926, 0.06260116262402853, -1.1905797274612866]",6.081937081714276,6.9379299525853755,-0.099024753617849,-0.12994706957305457,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
3,12812144,2.2735937040052305,"[1.2856422907315626, -0.4047822008941128, 1.1018502845747031, -0.5672870690318359, 0.1993922650356058, -1.6148155704159233]",0.8959317928634352,1.086077306428551,-0.099024753617849,-0.12994706957305457,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
3,12797927,4.073033217004901,"[1.0, -1.0]",1.2937279533040886,0.9167627148242286,-0.099024753617849,-0.12994706957305457,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
3,12706947,4.437560558496546,"[0.6080502341521168, 0.801735338248994, -1.4097855724011104]",8.588398203190685,9.76620341727578,-0.099024753617849,-0.12994706957305457,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
